/bioinfo/local/build/Centos/python/python-2.7.11/bin/python /bioinfo/users/nservant/Apps/HiC-Pro_2.11.0-beta/scripts/ice --results_filename hic_results/matrix/E12.5_dupL/iced/40000/E12.5_dupL_40000_iced.matrix --filter_low_counts_perc 0.02 --filter_high_counts_perc 0 --max_iter 100 --eps 0.1 --remove-all-zeros-loci --output-bias 1 --verbose 1 rawdata/E12.5_dupL/raw/40000/E12.5_dupL_ontarget_40000.matrix
Using iced version 0.4.2
Loading files...
Normalizing...
Filter 44720 out of 66382 bins ...
Matrix is triangular superior
ICE at iteration 35 1.03570629523e+43
ICE at iteration 36 1.83998643465e+44
ICE at iteration 37 2.0839085742e+45
ICE at iteration 38 3.71259073431e+46
ICE at iteration 39 4.20562546938e+47
ICE at iteration 40 7.51143234535e+48
ICE at iteration 41 8.51069861739e+49
ICE at iteration 42 1.52350215555e+51
ICE at iteration 43 1.72652081169e+52
ICE at iteration 44 3.09701201976e+53
ICE at iteration 45 3.51037727921e+54
ICE at iteration 46 6.30868183136e+55
ICE at iteration 47 7.15198386589e+56
ICE at iteration 48 1.28752766141e+58
ICE at iteration 49 1.45987486435e+59
ICE at iteration 50 2.63227639601e+60
ICE at iteration 51 2.98507656917e+61
ICE at iteration 52 5.39020698786e+62
ICE at iteration 53 6.11347180387e+63
ICE at iteration 54 1.10541858545e+65
ICE at iteration 55 1.25389517152e+66
ICE at iteration 56 2.27012207229e+67
ICE at iteration 57 2.57530843986e+68
ICE at iteration 58 4.66800449543e+69
ICE at iteration 59 5.2960319326e+70
ICE at iteration 60 9.61026809742e+71
ICE at iteration 61 1.09040551664e+73
ICE at iteration 62 1.98074281691e+74
ICE at iteration 63 2.24754290109e+75
ICE at iteration 64 4.08675249727e+76
ICE at iteration 65 4.63745835306e+77
ICE at iteration 66 8.44030863779e+78
ICE at iteration 67 9.57803676137e+79
ICE at iteration 68 1.74478771746e+81
ICE at iteration 69 1.98003214655e+82
ICE at iteration 70 3.61000532709e+83
ICE at iteration 71 4.09679506919e+84
ICE at iteration 72 7.47537019713e+85
ICE at iteration 73 8.4834287689e+86
ICE at iteration 74 1.54916450822e+88
ICE at iteration 75 1.75806291353e+89
ICE at iteration 76 3.21280407898e+90
ICE at iteration 77 3.64598936064e+91
ICE at iteration 78 6.66770069237e+92
ICE at iteration 79 7.56655017073e+93
ICE at iteration 80 1.3847061554e+95
ICE at iteration 81 1.57132762966e+96
ICE at iteration 82 2.87749423971e+97
ICE at iteration 83 3.26518487518e+98
ICE at iteration 84 5.98319653906e+99
ICE at iteration 85 6.78903252239e+100
ICE at iteration 86 1.24480581224e+102
ICE at iteration 87 1.4123907852e+103
ICE at iteration 88 2.59124139908e+104
ICE at iteration 89 2.93993238626e+105
ICE at iteration 90 5.39686078698e+106
ICE at iteration 91 6.12272339273e+107
ICE at iteration 92 1.12458287635e+109
ICE at iteration 93 1.27575356717e+110
ICE at iteration 94 2.34449377407e+111
ICE at iteration 95 2.65946596056e+112
ICE at iteration 96 4.88995762528e+113
ICE at iteration 97 5.54649687676e+114
ICE at iteration 98 1.02035442402e+116
ICE at iteration 99 1.15726152139e+117
Writing results...
